Date : 2026-03-04 14:38:29
Directory : c:\JoystickGremlin-develop
Total : 367 files,  173019 codes, 24840 comments, 48494 blanks, all 246353 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| action_plugins\macro\gfx                                                                   |         36 |      2,500 |         30 |         60 |      2,590 |
| action_plugins\map_to_gamepad                                                              |          1 |        254 |         83 |         72 |        409 |
| action_plugins\map_to_keyboard                                                             |          1 |        147 |         73 |         48 |        268 |
| action_plugins\map_to_keyboard_ex                                                          |          1 |        897 |        122 |        287 |      1,306 |
| action_plugins\map_to_mouse                                                                |          1 |        403 |        113 |         87 |        603 |
| action_plugins\map_to_mouse_ex                                                             |          1 |      1,036 |        132 |        330 |      1,498 |
| action_plugins\map_to_octavi_ifr1                                                          |          1 |        136 |         42 |         55 |        233 |
| action_plugins\map_to_osc                                                                  |          1 |        799 |        103 |        265 |      1,167 |
| action_plugins\map_to_osc_ex                                                               |          1 |      1,294 |        110 |        394 |      1,798 |
| action_plugins\map_to_simconnect                                                           |         12 |     14,995 |      1,281 |      2,576 |     18,852 |
| action_plugins\map_to_simconnect (Files)                                                   |          3 |     10,096 |        584 |      1,827 |     12,507 |
| action_plugins\map_to_simconnect\SimConnect                                                |          9 |      4,899 |        697 |        749 |      6,345 |
| action_plugins\map_to_state                                                                |          1 |        919 |         92 |        318 |      1,329 |
| action_plugins\map_to_trigger                                                              |          1 |        358 |         15 |        127 |        500 |
| action_plugins\map_to_vjoy                                                                 |          1 |      4,989 |        421 |      1,668 |      7,078 |
| action_plugins\noop                                                                        |          1 |         49 |         26 |         30 |        105 |
| action_plugins\os_actions                                                                  |          1 |        297 |         26 |        103 |        426 |
| action_plugins\pause                                                                       |          1 |        135 |         28 |         50 |        213 |
| action_plugins\play_sound                                                                  |          1 |        820 |         68 |        247 |      1,135 |
| action_plugins\previous_mode                                                               |          1 |         58 |         25 |         30 |        113 |
| action_plugins\remap                                                                       |          1 |        459 |         80 |        120 |        659 |
| action_plugins\response_curve                                                              |          2 |      1,081 |        383 |        280 |      1,744 |
| action_plugins\response_curve_ex                                                           |          1 |        129 |         57 |         59 |        245 |
| action_plugins\resume                                                                      |          1 |         58 |         26 |         29 |        113 |
| action_plugins\run_process                                                                 |          1 |        201 |         30 |         74 |        305 |
| action_plugins\split_axis                                                                  |          1 |        167 |         52 |         40 |        259 |
| action_plugins\switch_mode                                                                 |          1 |        228 |         37 |         92 |        357 |
| action_plugins\temporary_mode_switch                                                       |          1 |        258 |         27 |         90 |        375 |
| action_plugins\text_to_speech                                                              |          1 |        305 |         21 |         98 |        424 |
| action_plugins\toggle_pause                                                                |          1 |         60 |         25 |         31 |        116 |
| container_plugins                                                                          |         16 |      5,792 |      1,487 |      1,983 |      9,262 |
| container_plugins (Files)                                                                  |          1 |          3 |         15 |          3 |         21 |
| container_plugins\basic                                                                    |          1 |        163 |         71 |         57 |        291 |
| container_plugins\button                                                                   |          1 |        257 |         83 |         84 |        424 |
| container_plugins\chain                                                                    |          1 |        179 |         76 |         56 |        311 |
| container_plugins\double_tap                                                               |          1 |        260 |        106 |         68 |        434 |
| container_plugins\hat_buttons                                                              |          1 |        289 |        117 |        116 |        522 |
| container_plugins\range                                                                    |          1 |        536 |        108 |        185 |        829 |
| container_plugins\repeat                                                                   |          1 |        317 |         77 |        122 |        516 |
| container_plugins\sequence                                                                 |          1 |      1,070 |        120 |        375 |      1,565 |
| container_plugins\smart_toggle                                                             |          1 |        241 |         90 |         77 |        408 |
| container_plugins\state                                                                    |          1 |        250 |         79 |         84 |        413 |
| container_plugins\switch                                                                   |          1 |        460 |         89 |        149 |        698 |
| container_plugins\tempo                                                                    |          1 |        308 |        107 |         96 |        511 |
| container_plugins\tempoEx                                                                  |          1 |        866 |        178 |        308 |      1,352 |
| container_plugins\tick                                                                     |          1 |        306 |         94 |         87 |        487 |
| container_plugins\trigger                                                                  |          1 |        287 |         77 |        116 |        480 |
| dinput                                                                                     |          1 |        650 |        304 |        207 |      1,161 |
| docs                                                                                       |         11 |      2,316 |          0 |      1,821 |      4,137 |
| docs (Files)                                                                               |          9 |      2,314 |          0 |      1,821 |      4,135 |
| docs\assets                                                                                |          2 |          2 |          0 |          0 |          2 |
| examples                                                                                   |          4 |        863 |         67 |         88 |      1,018 |
| examples\ch stick and pedals                                                               |          4 |        863 |         67 |         88 |      1,018 |
| gfx                                                                                        |         46 |      1,957 |         15 |         36 |      2,008 |
| gremlin                                                                                    |         90 |     72,907 |     14,542 |     23,864 |    111,313 |
| gremlin (Files)                                                                            |         56 |     38,412 |      7,921 |     12,138 |     58,471 |
| gremlin\ui                                                                                 |         34 |     34,495 |      6,621 |     11,726 |     52,842 |
| logs                                                                                       |          1 |         13 |          0 |          1 |         14 |
| qml                                                                                        |          1 |         15 |          0 |          2 |         17 |
| qt5reactor                                                                                 |          5 |        556 |        307 |        144 |      1,007 |
| qt5reactor (Files)                                                                         |          3 |        547 |        307 |        137 |        991 |
| qt5reactor\tests                                                                           |          2 |          9 |          0 |          7 |         16 |
| scripts                                                                                    |          5 |      2,440 |        917 |        839 |      4,196 |
| site                                                                                       |         54 |     17,012 |      1,180 |      7,101 |     25,293 |
| site (Files)                                                                               |          3 |        866 |          0 |        938 |      1,804 |
| site\actions                                                                               |          1 |      1,785 |          0 |        682 |      2,467 |
| site\assets                                                                                |         42 |      5,148 |      1,180 |        940 |      7,268 |
| site\assets (Files)                                                                        |          2 |          2 |          0 |          0 |          2 |
| site\assets\javascripts                                                                    |         37 |      5,143 |      1,180 |        940 |      7,263 |
| site\assets\javascripts (Files)                                                            |          2 |         15 |          1 |          3 |         19 |
| site\assets\javascripts\lunr                                                               |         34 |      5,090 |      1,176 |        935 |      7,201 |
| site\assets\javascripts\lunr (Files)                                                       |          2 |      5,058 |        936 |        920 |      6,914 |
| site\assets\javascripts\lunr\min                                                           |         32 |         32 |        240 |         15 |        287 |
| site\assets\javascripts\workers                                                            |          1 |         38 |          3 |          2 |         43 |
| site\assets\stylesheets                                                                    |          3 |          3 |          0 |          0 |          3 |
| site\containers                                                                            |          1 |        497 |          0 |        498 |        995 |
| site\credits                                                                               |          1 |        283 |          0 |        445 |        728 |
| site\ktts                                                                                  |          1 |        448 |          0 |        479 |        927 |
| site\overview                                                                              |          1 |      1,588 |          0 |        694 |      2,282 |
| site\resources                                                                             |          1 |        477 |          0 |        506 |        983 |
| site\scripting                                                                             |          1 |        552 |          0 |        525 |      1,077 |
| site\search                                                                                |          1 |          1 |          0 |          0 |          1 |
| site\usage                                                                                 |          1 |      5,367 |          0 |      1,394 |      6,761 |
| test                                                                                       |         12 |      1,190 |        177 |        224 |      1,591 |
| vigem                                                                                      |          3 |        440 |        466 |        156 |      1,062 |
| vjoy                                                                                       |          3 |        730 |        363 |        221 |      1,314 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                   | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\JoystickGremlin-develop\.env                                                            | Dotenv           |          0 |          0 |          1 |          1 |
| c:\JoystickGremlin-develop\.github\FUNDING.yml                                             | YAML             |          1 |          1 |          2 |          4 |
| c:\JoystickGremlin-develop\.github\workflows\github-actions-docs.yml                       | YAML             |         29 |          0 |          7 |         36 |
| c:\JoystickGremlin-develop\.qmllint.ini                                                    | Ini              |         18 |          0 |          1 |         19 |
| c:\JoystickGremlin-develop\README.md                                                       | Markdown         |      2,228 |          0 |        719 |      2,947 |
| c:\JoystickGremlin-develop\about\about.html                                                | HTML             |         12 |          0 |          3 |         15 |
| c:\JoystickGremlin-develop\about\joystick_gremlin.html                                     | HTML             |        528 |          0 |        109 |        637 |
| c:\JoystickGremlin-develop\about\modernuiicons.html                                        | HTML             |         56 |          0 |         11 |         67 |
| c:\JoystickGremlin-develop\about\pyqt.html                                                 | HTML             |        557 |          0 |        122 |        679 |
| c:\JoystickGremlin-develop\about\pywin32.html                                              | HTML             |         29 |          0 |          6 |         35 |
| c:\JoystickGremlin-develop\about\qt5.html                                                  | HTML             |        132 |          0 |         37 |        169 |
| c:\JoystickGremlin-develop\about\reportlab.html                                            | HTML             |         33 |          0 |          1 |         34 |
| c:\JoystickGremlin-develop\about\third_party_licenses.html                                 | HTML             |         16 |          0 |          3 |         19 |
| c:\JoystickGremlin-develop\about\vjoy.html                                                 | HTML             |         21 |          0 |          5 |         26 |
| c:\JoystickGremlin-develop\action_plugins\__init__.py                                      | Python           |          0 |         15 |          2 |         17 |
| c:\JoystickGremlin-develop\action_plugins\common.py                                        | Python           |          0 |         15 |          2 |         17 |
| c:\JoystickGremlin-develop\action_plugins\control\__init__.py                              | Python           |        304 |         28 |         91 |        423 |
| c:\JoystickGremlin-develop\action_plugins\cycle_modes\__init__.py                          | Python           |        242 |         36 |        103 |        381 |
| c:\JoystickGremlin-develop\action_plugins\description\__init__.py                          | Python           |         82 |         41 |         45 |        168 |
| c:\JoystickGremlin-develop\action_plugins\gated_axis\__init__.py                           | Python           |      1,351 |        116 |        510 |      1,977 |
| c:\JoystickGremlin-develop\action_plugins\kvm\__init__.py                                  | Python           |        297 |         71 |        122 |        490 |
| c:\JoystickGremlin-develop\action_plugins\macro\__init__.py                                | Python           |      1,787 |        227 |        489 |      2,503 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_macro_add_pause.svg               | XML              |         48 |          0 |          0 |         48 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_macro_record.svg                  | XML              |         48 |          0 |          0 |         48 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_macro_record_on.svg               | XML              |         48 |          0 |          0 |         48 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_pause.svg                         | XML              |         73 |          1 |          2 |         76 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_press.svg                         | XML              |         65 |          1 |          2 |         68 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_axis.svg                   | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_axis_on.svg                | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_button.svg                 | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_button_on.svg              | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_hat.svg                    | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_hat_on.svg                 | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_key.svg                    | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_key_on.svg                 | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_mouse.svg                  | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_record_mouse_on.svg               | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_release.svg                       | XML              |         65 |          1 |          2 |         68 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_time.svg                          | XML              |        104 |          1 |          2 |        107 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\dark_time_on.svg                       | XML              |         99 |          1 |          2 |        102 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\macro_add_pause.svg                    | XML              |         48 |          0 |          0 |         48 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\macro_record.svg                       | XML              |         48 |          0 |          0 |         48 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\macro_record_on.svg                    | XML              |         48 |          0 |          0 |         48 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\pause.svg                              | XML              |         73 |          1 |          2 |         76 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\press.svg                              | XML              |         65 |          1 |          2 |         68 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_axis.svg                        | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_axis_on.svg                     | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_button.svg                      | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_button_on.svg                   | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_hat.svg                         | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_hat_on.svg                      | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_key.svg                         | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_key_on.svg                      | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_mouse.svg                       | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\record_mouse_on.svg                    | XML              |         70 |          1 |          2 |         73 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\release.svg                            | XML              |         65 |          1 |          2 |         68 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\time.svg                               | XML              |        104 |          1 |          2 |        107 |
| c:\JoystickGremlin-develop\action_plugins\macro\gfx\time_on.svg                            | XML              |         99 |          1 |          2 |        102 |
| c:\JoystickGremlin-develop\action_plugins\map_to_gamepad\__init__.py                       | Python           |        254 |         83 |         72 |        409 |
| c:\JoystickGremlin-develop\action_plugins\map_to_keyboard\__init__.py                      | Python           |        147 |         73 |         48 |        268 |
| c:\JoystickGremlin-develop\action_plugins\map_to_keyboard_ex\__init__.py                   | Python           |        897 |        122 |        287 |      1,306 |
| c:\JoystickGremlin-develop\action_plugins\map_to_mouse\__init__.py                         | Python           |        403 |        113 |         87 |        603 |
| c:\JoystickGremlin-develop\action_plugins\map_to_mouse_ex\__init__.py                      | Python           |      1,036 |        132 |        330 |      1,498 |
| c:\JoystickGremlin-develop\action_plugins\map_to_octavi_ifr1\__init__.py                   | Python           |        136 |         42 |         55 |        233 |
| c:\JoystickGremlin-develop\action_plugins\map_to_osc\__init__.py                           | Python           |        799 |        103 |        265 |      1,167 |
| c:\JoystickGremlin-develop\action_plugins\map_to_osc_ex\__init__.py                        | Python           |      1,294 |        110 |        394 |      1,798 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnectManager.py           | Python           |      1,853 |        142 |        505 |      2,500 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\Attributes.py       | Python           |        530 |        386 |         95 |      1,011 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\Constants.py        | Python           |         41 |         10 |         16 |         67 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\Enum.py             | Python           |        562 |         79 |        173 |        814 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\EventList.py        | Python           |      1,263 |          3 |         38 |      1,304 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\FacilitiesList.py   | Python           |         91 |          3 |         19 |        113 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\RequestList.py      | Python           |        980 |         26 |         31 |      1,037 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\SimConnect.py       | Python           |      1,130 |        140 |        291 |      1,561 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\SimConnectBridge.py | Python           |        290 |         50 |         80 |        420 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\__init__.py         | Python           |         12 |          0 |          6 |         18 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\__init__.py                    | Python           |      3,480 |        442 |      1,321 |      5,243 |
| c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\simconnect_simvars.xml         | XML              |      4,763 |          0 |          1 |      4,764 |
| c:\JoystickGremlin-develop\action_plugins\map_to_state\__init__.py                         | Python           |        919 |         92 |        318 |      1,329 |
| c:\JoystickGremlin-develop\action_plugins\map_to_trigger\__init__.py                       | Python           |        358 |         15 |        127 |        500 |
| c:\JoystickGremlin-develop\action_plugins\map_to_vjoy\__init__.py                          | Python           |      4,989 |        421 |      1,668 |      7,078 |
| c:\JoystickGremlin-develop\action_plugins\noop\__init__.py                                 | Python           |         49 |         26 |         30 |        105 |
| c:\JoystickGremlin-develop\action_plugins\os_actions\__init__.py                           | Python           |        297 |         26 |        103 |        426 |
| c:\JoystickGremlin-develop\action_plugins\pause\__init__.py                                | Python           |        135 |         28 |         50 |        213 |
| c:\JoystickGremlin-develop\action_plugins\play_sound\__init__.py                           | Python           |        820 |         68 |        247 |      1,135 |
| c:\JoystickGremlin-develop\action_plugins\previous_mode\__init__.py                        | Python           |         58 |         25 |         30 |        113 |
| c:\JoystickGremlin-develop\action_plugins\remap\__init__.py                                | Python           |        459 |         80 |        120 |        659 |
| c:\JoystickGremlin-develop\action_plugins\response_curve\__init__.py                       | Python           |        945 |        382 |        278 |      1,605 |
| c:\JoystickGremlin-develop\action_plugins\response_curve\grid.svg                          | XML              |        136 |          1 |          2 |        139 |
| c:\JoystickGremlin-develop\action_plugins\response_curve_ex\__init__.py                    | Python           |        129 |         57 |         59 |        245 |
| c:\JoystickGremlin-develop\action_plugins\resume\__init__.py                               | Python           |         58 |         26 |         29 |        113 |
| c:\JoystickGremlin-develop\action_plugins\run_process\__init__.py                          | Python           |        201 |         30 |         74 |        305 |
| c:\JoystickGremlin-develop\action_plugins\split_axis\__init__.py                           | Python           |        167 |         52 |         40 |        259 |
| c:\JoystickGremlin-develop\action_plugins\switch_mode\__init__.py                          | Python           |        228 |         37 |         92 |        357 |
| c:\JoystickGremlin-develop\action_plugins\temporary_mode_switch\__init__.py                | Python           |        258 |         27 |         90 |        375 |
| c:\JoystickGremlin-develop\action_plugins\text_to_speech\__init__.py                       | Python           |        305 |         21 |         98 |        424 |
| c:\JoystickGremlin-develop\action_plugins\toggle_pause\__init__.py                         | Python           |         60 |         25 |         31 |        116 |
| c:\JoystickGremlin-develop\build_docs.bat                                                  | Batch            |          2 |          0 |          0 |          2 |
| c:\JoystickGremlin-develop\checklist.md                                                    | Markdown         |         10 |          0 |          4 |         14 |
| c:\JoystickGremlin-develop\container_plugins\__init__.py                                   | Python           |          3 |         15 |          3 |         21 |
| c:\JoystickGremlin-develop\container_plugins\basic\__init__.py                             | Python           |        163 |         71 |         57 |        291 |
| c:\JoystickGremlin-develop\container_plugins\button\__init__.py                            | Python           |        257 |         83 |         84 |        424 |
| c:\JoystickGremlin-develop\container_plugins\chain\__init__.py                             | Python           |        179 |         76 |         56 |        311 |
| c:\JoystickGremlin-develop\container_plugins\double_tap\__init__.py                        | Python           |        260 |        106 |         68 |        434 |
| c:\JoystickGremlin-develop\container_plugins\hat_buttons\__init__.py                       | Python           |        289 |        117 |        116 |        522 |
| c:\JoystickGremlin-develop\container_plugins\range\__init__.py                             | Python           |        536 |        108 |        185 |        829 |
| c:\JoystickGremlin-develop\container_plugins\repeat\__init__.py                            | Python           |        317 |         77 |        122 |        516 |
| c:\JoystickGremlin-develop\container_plugins\sequence\__init__.py                          | Python           |      1,070 |        120 |        375 |      1,565 |
| c:\JoystickGremlin-develop\container_plugins\smart_toggle\__init__.py                      | Python           |        241 |         90 |         77 |        408 |
| c:\JoystickGremlin-develop\container_plugins\state\__init__.py                             | Python           |        250 |         79 |         84 |        413 |
| c:\JoystickGremlin-develop\container_plugins\switch\__init__.py                            | Python           |        460 |         89 |        149 |        698 |
| c:\JoystickGremlin-develop\container_plugins\tempoEx\__init__.py                           | Python           |        866 |        178 |        308 |      1,352 |
| c:\JoystickGremlin-develop\container_plugins\tempo\__init__.py                             | Python           |        308 |        107 |         96 |        511 |
| c:\JoystickGremlin-develop\container_plugins\tick\__init__.py                              | Python           |        306 |         94 |         87 |        487 |
| c:\JoystickGremlin-develop\container_plugins\trigger\__init__.py                           | Python           |        287 |         77 |        116 |        480 |
| c:\JoystickGremlin-develop\dark_manage_modes.svg                                           | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\deploy.bat                                                      | Batch            |         17 |          0 |          7 |         24 |
| c:\JoystickGremlin-develop\deploy_ai.bat                                                   | Batch            |         17 |          0 |          7 |         24 |
| c:\JoystickGremlin-develop\deploy_full.bat                                                 | Batch            |          4 |          0 |          2 |          6 |
| c:\JoystickGremlin-develop\deploy_nuitka.cmd                                               | Batch            |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\dinput\__init__.py                                              | Python           |        650 |        304 |        207 |      1,161 |
| c:\JoystickGremlin-develop\docs\actions.md                                                 | Markdown         |        316 |          0 |        206 |        522 |
| c:\JoystickGremlin-develop\docs\assets\discord.svg                                         | XML              |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\docs\assets\warning.svg                                         | XML              |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\docs\containers.md                                              | Markdown         |         42 |          0 |         30 |         72 |
| c:\JoystickGremlin-develop\docs\credits.md                                                 | Markdown         |         10 |          0 |         10 |         20 |
| c:\JoystickGremlin-develop\docs\index.md                                                   | Markdown         |         72 |          0 |         62 |        134 |
| c:\JoystickGremlin-develop\docs\ktts.md                                                    | Markdown         |         92 |          0 |         50 |        142 |
| c:\JoystickGremlin-develop\docs\overview.md                                                | Markdown         |        371 |          0 |        269 |        640 |
| c:\JoystickGremlin-develop\docs\resources.md                                               | Markdown         |         55 |          0 |         58 |        113 |
| c:\JoystickGremlin-develop\docs\scripting.md                                               | Markdown         |        110 |          0 |         75 |        185 |
| c:\JoystickGremlin-develop\docs\usage.md                                                   | Markdown         |      1,246 |          0 |      1,061 |      2,307 |
| c:\JoystickGremlin-develop\docs_server.bat                                                 | Batch            |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\examples\ch stick and pedals\empty.xml                          | XML              |        366 |          0 |          1 |        367 |
| c:\JoystickGremlin-develop\examples\ch stick and pedals\jkb.xml                            | XML              |        250 |         64 |         41 |        355 |
| c:\JoystickGremlin-develop\examples\ch stick and pedals\profile.xml                        | XML              |        105 |          0 |          1 |        106 |
| c:\JoystickGremlin-develop\examples\ch stick and pedals\sc.py                              | Python           |        142 |          3 |         45 |        190 |
| c:\JoystickGremlin-develop\generate_wix.py                                                 | Python           |        313 |        109 |         59 |        481 |
| c:\JoystickGremlin-develop\gfx\about.svg                                                   | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\activate.svg                                                | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\activate_on.svg                                             | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\button_copy.svg                                             | XML              |         11 |          1 |          1 |         13 |
| c:\JoystickGremlin-develop\gfx\button_paste.svg                                            | XML              |         11 |          1 |          1 |         13 |
| c:\JoystickGremlin-develop\gfx\calibration.svg                                             | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\curve_grid_ex.svg                                           | XML              |        153 |          0 |         16 |        169 |
| c:\JoystickGremlin-develop\gfx\dark_about.svg                                              | XML              |         14 |          1 |          0 |         15 |
| c:\JoystickGremlin-develop\gfx\dark_activate.svg                                           | XML              |         17 |          1 |          0 |         18 |
| c:\JoystickGremlin-develop\gfx\dark_activate_on.svg                                        | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\dark_button_copy.svg                                        | XML              |         13 |          1 |          0 |         14 |
| c:\JoystickGremlin-develop\gfx\dark_button_paste.svg                                       | XML              |         12 |          1 |          0 |         13 |
| c:\JoystickGremlin-develop\gfx\dark_curve_grid_ex.svg                                      | XML              |        138 |          1 |         11 |        150 |
| c:\JoystickGremlin-develop\gfx\dark_device_information.svg                                 | XML              |         14 |          1 |          0 |         15 |
| c:\JoystickGremlin-develop\gfx\dark_input_repeater.svg                                     | XML              |         14 |          1 |          0 |         15 |
| c:\JoystickGremlin-develop\gfx\dark_input_viewer.svg                                       | XML              |         23 |          1 |          2 |         26 |
| c:\JoystickGremlin-develop\gfx\dark_list_add.svg                                           | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\dark_list_delete.svg                                        | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\dark_list_down.svg                                          | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\dark_list_up.svg                                            | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\dark_manage_modes.svg                                       | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\dark_manage_modules.svg                                     | XML              |         14 |          1 |          0 |         15 |
| c:\JoystickGremlin-develop\gfx\dark_options.svg                                            | XML              |        138 |          0 |          0 |        138 |
